Animal Farm	George Orwell	42
The Heart Of The Matter	Graham Greene	44
The Tin Drum	Günter Grass	32
Siddhartha	Hermann Hesse	45
Franny And Zooey	J.D. Salinger	42
The Catcher In The Rye	J.D. Salinger	32
The Ginger Man	J.P. Donleavy	29
Shane	Jack Schaefer	42
Go Tell It On The Mountain	James Baldwin	29
The Postman Always Rings Twice	James M. Cain	42
The Collected Stories of Jean Stafford	Jean Stafford	54
A Visit From the Goon Squad	Jennifer Egan	48
Interpreter of Maladies	Jhumpa Lahiri	32
Nostromo	Joseph Conrad	47
Lord Jim	Joseph Conrad	43
Heart Of Darkness	Joseph Conrad	42
The Secret Agent	Joseph Conrad	50
Catch-22	Joseph Heller	38
Lucky Jim	Kingsley Amis	32
Slaughterhouse Five	Kurt Vonnegut	47
The Wonderful Wizard Of Oz	L. Frank Baum	44
Under The Volcano	Malcolm Lowry	38
In Search of Lost Time	Marcel Proust	56
Journey in the Dark	Martin Flavin	60
Dead Souls	Nikolai Gogol	33
The Executioner's Song	Norman Mailer	56
The Naked And The Dead	Norman Mailer	25
The Good Earth	Pearl S. Buck	39
Invisible Man	Ralph Ellison	39
Watership Down	Richard Adams	52
Empire Falls	Richard Russo	52
I, Claudius	Robert Graves	39
Zen And The Art Of Motorcycle Maintenance	Robert Pirsig	46
The Way Of All Flesh	Samuel Butler	68
The Way Of All Flesh	Samuel Butler	129
Beloved	Toni Morrison	56
Song Of Solomon	Toni Morrison	46
Jazz	Toni Morrison	61
In Cold Blood	Truman Capote	42
Berlin Alexanderplatz	Alfred Döblin	51
A Dance To The Music Of Time	Anthony Powell	46
The Old Wives' Tale	Arnold Bennett	41
The Town	Conrad Richter	60
The Edge of Sadness	Edwin O'Connor	43
The Autobiography Of Alice B. Tokias	Gertrude Stein	59
At The Mountains Of Madness	H.P. Lovecraft	46
Bridget Jones's Diary	Helen Fielding	38
Oblomov	Ivan Goncharov	47
The Hobbit	J.R.R. Tolkien	45
The Lord Of The Rings	J.R.R. Tolkien	63
Of Mice And Men	John Steinbeck	35
The Grapes Of Wrath	John Steinbeck	37
East Of Eden	John Steinbeck	50
Gulliver's Travels	Jonathan Swift	59
Blindness	José Saramago	73
Scarlet Sister Mary	Julia Peterkin	48
Battlefield Earth	L. Ron Hubbard	71
Fear	L. Ron Hubbard	-314
Mission Earth	L. Ron Hubbard	75
Lonesome Dove	Larry McMurtry	49
The Amazing Adventures of Kavalier & Clay	Michael Chabon	37
The Killer Angels	Michael Shaara	46
Children of Gebelawi	Naguib Mahfouz	48
The Day Of The Locust	Nathanael West	36
The Mambo Kings Play Songs of Love	Oscar Hijuelos	38
A High Wind In Jamaica	Richard Hughes	29
Native Son	Richard Wright	32
Haroun And The Sea Of Stories	Salman Rushdie	43
The Satanic Verses	Salman Rushdie	41
Midnight's Children	Salman Rushdie	34
Molloy, Malone Dies, The Unnamable, a trilogy	Samuel Beckett	47
Main Street	Sinclair Lewis	35
Arrowsmith	Sinclair Lewis	40
Babbitt	Sinclair Lewis	37
The Wood Wife	Terri Windling	39
Gravity's Rainbow	Thomas Pynchon	36
V.	Thomas Pynchon	26
The Jungle	Upton Sinclair	28
Dragon's Teeth	Upton Sinclair	64
Mrs. Dalloway	Virginia Woolf	43
To the Lighthouse	Virginia Woolf	45
Orlando	Virginia Woolf	46
The Recognitions	William Gaddis	33
Sophie's Choice	William Styron	51
The Confessions of Nat Turner	William Styron	42
The Three Musketeers	Alexandre Dumas	42
A Clockwork Orange	Anthony Burgess	45
Darkness At Noon	Arthur Koestler	35
Pippi Longstocking	Astrid Lindgren	38
The Fixer	Bernard Malamud	52
Lamb in His Bosom	Caroline Miller	30
A Tale Of Two Cities	Charles Dickens	47
David Copperfield	Charles Dickens	38
Great Expectations	Charles Dickens	49
Cold Mountain	Charles Frazier	47
Moonheart	Charles de Lint	33
Memory And Dream	Charles de Lint	43
Yarrow	Charles de Lint	38
Greenmantle	Charles de Lint	-35
Trader	Charles de Lint	46
Mulengro	Charles de Lint	34
The Little Country	Charles de Lint	40
Someplace To Be Flying	Charles de Lint	47
Fight Club	Chuck Palahniuk	34
The Road	Cormac McCarthy	73
